date,open,high,low,close,adjClose,volume
2022-10-20,47.000000,47.900002,46.500000,47.900002,46.635315,60
2022-10-21,46.799999,47.900002,46.799999,47.700001,46.440594,20
2022-10-24,47.799999,49.500000,47.799999,49.500000,48.193069,170
2022-10-25,49.000000,50.000000,49.000000,50.000000,48.679867,366
2022-10-26,49.000000,49.000000,49.000000,49.000000,47.706268,0
2022-10-27,49.000000,50.400002,49.000000,50.400002,49.069309,20
2022-10-28,49.000000,51.400002,49.000000,49.900002,48.582508,15
2022-10-31,50.200001,50.200001,50.000000,50.000000,48.679867,33
2022-11-01,49.000000,52.000000,49.000000,52.000000,50.627064,170
2022-11-02,51.200001,53.799999,51.200001,53.799999,52.379536,5
2022-11-03,51.200001,51.200001,51.200001,51.200001,49.848186,0
2022-11-04,49.400002,51.200001,49.400002,51.200001,49.848186,256
2022-11-07,52.799999,52.799999,51.000000,51.200001,49.848186,149
2022-11-08,49.500000,49.500000,49.500000,49.500000,48.193069,0
2022-11-09,49.000000,50.799999,49.000000,50.799999,49.458744,5
2022-11-10,49.000000,49.000000,49.000000,49.000000,47.706268,0
2022-11-11,50.200001,52.599998,50.200001,52.000000,50.627064,903
2022-11-14,51.400002,53.599998,51.400002,53.200001,51.795380,112
2022-11-15,53.000000,54.200001,53.000000,54.200001,52.768978,71
2022-11-16,53.200001,54.799999,53.000000,53.000000,51.600658,411
2022-11-17,53.000000,53.799999,52.000000,53.799999,52.379536,295
2022-11-18,55.400002,56.799999,55.400002,55.599998,54.132011,15
2022-11-21,55.400002,60.799999,55.400002,60.599998,58.999996,853
2022-11-22,61.799999,65.599998,61.799999,65.400002,63.673267,375
2022-11-23,64.800003,65.000000,63.000000,63.599998,61.920792,625
2022-11-24,61.599998,62.400002,61.599998,62.400002,60.752476,45
2022-11-25,61.799999,61.799999,60.599998,60.599998,58.999996,210
2022-11-28,61.400002,61.400002,60.200001,60.200001,58.610561,60
2022-11-29,60.000000,61.599998,60.000000,61.599998,59.973595,334
