date,open,high,low,close,adjClose,volume
2022-10-20,3901.500000,3914.000000,3881.000000,3909.500000,3771.759033,6019380
2022-10-21,3879.000000,3977.000000,3870.000000,3943.500000,3804.561035,3234953
2022-10-24,3935.500000,3946.500000,3906.500000,3921.500000,3783.336182,4005958
2022-10-25,3941.500000,3953.500000,3896.000000,3926.500000,3788.160156,3041522
2022-10-26,3925.000000,3926.500000,3816.500000,3869.000000,3732.685791,6577913
2022-10-27,3893.500000,3908.000000,3825.000000,3865.000000,3728.826660,4255339
2022-10-28,3874.500000,3929.500000,3864.500000,3918.000000,3779.959473,3254105
2022-10-31,3938.500000,3994.500000,3918.500000,3974.500000,3834.468750,6779269
2022-11-01,3989.000000,3998.000000,3940.500000,3947.500000,3808.420166,5859327
2022-11-02,3965.000000,3993.500000,3923.500000,3949.000000,3809.867432,4137686
2022-11-03,3926.500000,3997.000000,3922.000000,3995.500000,3854.729004,3925291
2022-11-04,3991.000000,4064.500000,3978.676025,4053.500000,3910.685547,3561252
2022-11-07,4062.500000,4070.000000,4020.000000,4032.000000,3889.943115,5674223
2022-11-08,4017.500000,4057.500000,4009.000000,4056.500000,3913.579834,4112713
2022-11-09,4043.500000,4074.500000,4003.000000,4070.000000,3926.604248,2981620
2022-11-10,4072.000000,4093.000000,4042.500000,4043.000000,3900.555664,5315302
2022-11-11,4030.500000,4039.094971,3907.000000,3939.500000,3800.701904,6458874
2022-11-14,3982.500000,4049.500000,3963.500000,4032.500000,3890.425293,5238464
2022-11-15,4037.000000,4113.004883,4021.500000,4033.500000,3891.390137,3882198
2022-11-16,4057.000000,4080.500000,4043.959961,4064.500000,3921.298096,3147276
2022-11-17,4033.500000,4064.500000,4012.000000,4058.000000,3951.209717,2107931
2022-11-18,4053.500000,4066.500000,4029.000000,4040.500000,3934.169922,4936798
2022-11-21,4042.500000,4114.500000,4034.000000,4112.500000,4004.275391,3209024
2022-11-22,4099.000000,4128.000000,4090.000000,4116.500000,4008.170166,2847320
2022-11-23,4127.500000,4142.500000,4110.500000,4110.500000,4002.328125,2655547
2022-11-24,4099.000000,4124.500000,4091.000000,4120.000000,4011.577881,1444643
2022-11-25,4115.000000,4139.000000,4094.000000,4113.500000,4005.249268,2928530
2022-11-28,4113.000000,4163.000000,4100.500000,4155.000000,4045.656982,2728226
2022-11-29,4133.000000,4164.000000,4124.500000,4124.500000,4015.959717,3110044
2022-11-30,4131.000000,4175.201172,4127.500000,4144.000000,4034.946533,12735301
2022-12-01,4147.000000,4181.000000,4134.000000,4179.500000,4069.511963,3855871
2022-12-02,4173.500000,4179.000000,4139.000000,4178.000000,4068.051514,2752525
2022-12-05,4175.000000,4182.599121,4123.080078,4179.000000,4069.025146,2607670
2022-12-06,4194.500000,4216.000000,4176.000000,4186.000000,4075.841553,5001184
2022-12-07,4204.000000,4229.500000,4151.850098,4161.000000,4051.498779,3826026
2022-12-08,4170.500000,4226.000000,4130.500000,4161.000000,4051.498779,4477913
